Team,gameDate,RestDays
76ers,1963-10-16 19:00:00,
76ers,1963-10-19 19:00:00,3.0
76ers,1963-10-25 19:00:00,6.0
76ers,1963-10-26 19:00:00,1.0
76ers,1963-10-30 19:00:00,4.0
76ers,1963-11-01 19:00:00,2.0
76ers,1963-11-02 19:00:00,1.0
76ers,1963-11-03 19:00:00,1.0
76ers,1963-11-06 19:00:00,3.0
76ers,1963-11-08 19:00:00,2.0
76ers,1963-11-09 19:00:00,1.0
76ers,1963-11-12 19:00:00,3.0
76ers,1963-11-15 19:00:00,3.0
76ers,1963-11-20 19:00:00,5.0
76ers,1963-11-26 19:00:00,6.0
76ers,1963-11-28 19:00:00,2.0
76ers,1963-11-29 19:00:00,1.0
76ers,1963-11-30 19:00:00,1.0
76ers,1963-12-01 19:00:00,1.0
76ers,1963-12-05 19:00:00,4.0
76ers,1963-12-07 19:00:00,2.0
76ers,1963-12-08 19:00:00,1.0
76ers,1963-12-10 19:00:00,2.0
76ers,1963-12-11 19:00:00,1.0
76ers,1963-12-13 19:00:00,2.0
76ers,1963-12-14 19:00:00,1.0
76ers,1963-12-18 19:00:00,4.0
76ers,1963-12-20 19:00:00,2.0
76ers,1963-12-21 19:00:00,1.0
76ers,1963-12-22 19:00:00,1.0
76ers,1963-12-26 19:00:00,4.0
76ers,1963-12-27 19:00:00,1.0
76ers,1963-12-28 19:00:00,1.0
76ers,1964-01-03 19:00:00,6.0
76ers,1964-01-04 19:00:00,1.0
76ers,1964-01-05 19:00:00,1.0
76ers,1964-01-07 19:00:00,2.0
76ers,1964-01-08 19:00:00,1.0
76ers,1964-01-09 19:00:00,1.0
76ers,1964-01-11 19:00:00,2.0
76ers,1964-01-12 19:00:00,1.0
76ers,1964-01-17 19:00:00,5.0
76ers,1964-01-18 19:00:00,1.0
76ers,1964-01-21 19:00:00,3.0
76ers,1964-01-22 19:00:00,1.0
76ers,1964-01-24 19:00:00,2.0
76ers,1964-01-25 19:00:00,1.0
76ers,1964-01-26 19:00:00,1.0
76ers,1964-01-28 19:00:00,2.0
76ers,1964-01-29 19:00:00,1.0
76ers,1964-01-31 19:00:00,2.0
76ers,1964-02-01 19:00:00,1.0
76ers,1964-02-06 19:00:00,5.0
76ers,1964-02-07 19:00:00,1.0
76ers,1964-02-08 19:00:00,1.0
76ers,1964-02-09 19:00:00,1.0
76ers,1964-02-12 19:00:00,3.0
76ers,1964-02-14 19:00:00,2.0
76ers,1964-02-15 19:00:00,1.0
76ers,1964-02-16 19:00:00,1.0
76ers,1964-02-18 19:00:00,2.0
76ers,1964-02-19 19:00:00,1.0
76ers,1964-02-21 19:00:00,2.0
76ers,1964-02-23 19:00:00,2.0
76ers,1964-02-25 19:00:00,2.0
76ers,1964-02-26 19:00:00,1.0
76ers,1964-02-28 19:00:00,2.0
76ers,1964-02-29 19:00:00,1.0
76ers,1964-03-01 19:00:00,1.0
76ers,1964-03-03 19:00:00,2.0
76ers,1964-03-07 19:00:00,4.0
76ers,1964-03-08 19:00:00,1.0
76ers,1964-03-11 19:00:00,3.0
76ers,1964-03-12 19:00:00,1.0
76ers,1964-03-13 19:00:00,1.0
76ers,1964-03-14 19:00:00,1.0
76ers,1964-03-15 19:00:00,1.0
76ers,1964-03-16 19:00:00,1.0
76ers,1964-03-17 19:00:00,1.0
76ers,1964-03-18 19:00:00,1.0
76ers,1964-03-22 19:00:00,4.0
76ers,1964-03-24 19:00:00,2.0
76ers,1964-03-25 19:00:00,1.0
76ers,1964-03-28 19:00:00,3.0
76ers,1964-03-29 19:00:00,1.0
76ers,1964-10-16 19:00:00,201.0
76ers,1964-10-22 19:00:00,6.0
76ers,1964-10-24 19:00:00,2.0
76ers,1964-10-25 19:00:00,1.0
76ers,1964-10-27 19:00:00,2.0
76ers,1964-10-30 19:00:00,3.0
76ers,1964-10-31 19:00:00,1.0
76ers,1964-11-07 19:00:00,7.0
76ers,1964-11-10 19:00:00,3.0
76ers,1964-11-11 19:00:00,1.0
76ers,1964-11-12 19:00:00,1.0
76ers,1964-11-14 19:00:00,2.0
76ers,1964-11-17 19:00:00,3.0
76ers,1964-11-18 19:00:00,1.0
76ers,1964-11-20 19:00:00,2.0
76ers,1964-11-21 19:00:00,1.0
76ers,1964-11-25 19:00:00,4.0
76ers,1964-11-26 19:00:00,1.0
76ers,1964-11-27 19:00:00,1.0
76ers,1964-11-28 19:00:00,1.0
76ers,1964-11-29 19:00:00,1.0
76ers,1964-12-01 19:00:00,2.0
76ers,1964-12-04 19:00:00,3.0
76ers,1964-12-05 19:00:00,1.0
76ers,1964-12-06 19:00:00,1.0
76ers,1964-12-08 19:00:00,2.0
76ers,1964-12-11 19:00:00,3.0
76ers,1964-12-12 19:00:00,1.0
