,ATL,BOS,BKN,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,SEA,CHA
ATL,,38.28,54.15,54.55,46.02,51.69,53.26,51.49,49.38,48.88,50.57,50.81,61.05,44.04,56.16,43.5,49.82,61.43,63.33,51.12,38.24,50.0,49.17,45.07,48.44,55.26,43.24,49.54,48.25,55.28,52.21,54.55
BOS,61.72,,64.5,62.05,56.99,59.39,54.84,61.54,63.29,60.1,64.25,56.96,61.7,55.85,65.52,58.47,52.33,67.61,66.67,60.37,45.71,56.96,58.45,57.53,61.11,61.86,45.79,60.84,58.18,62.83,55.75,62.05
BKN,45.85,35.5,,55.0,45.73,42.33,39.08,44.12,43.52,41.58,37.04,43.4,52.63,31.19,46.55,41.46,41.74,42.25,48.0,47.79,31.25,44.44,41.47,48.51,30.0,46.6,28.57,43.48,34.95,53.33,37.68,55.0
CHA,45.45,37.95,45.0,,36.05,40.62,34.43,42.48,49.69,47.71,35.4,42.11,45.79,30.77,52.94,42.56,50.0,59.43,34.78,44.51,33.93,47.13,46.06,40.0,35.85,53.21,31.67,47.24,33.94,51.11,42.59,
CHI,53.98,43.01,54.27,63.95,,56.79,46.88,44.55,50.62,50.86,49.01,52.72,50.52,41.45,56.72,51.81,50.16,54.22,45.16,54.04,40.54,52.14,46.21,48.08,50.34,48.59,42.16,55.83,53.91,55.08,53.38,63.95
CLE,48.31,40.61,57.67,59.38,43.21,,53.76,46.0,46.86,43.15,37.06,47.77,60.22,44.0,61.67,42.03,44.44,60.87,41.67,45.12,51.52,51.33,48.37,41.46,45.52,51.3,36.84,55.3,46.55,54.76,38.71,59.38
DAL,46.74,45.16,60.92,65.57,53.12,46.24,,50.0,50.53,51.31,47.35,52.13,55.72,34.5,66.4,49.44,47.47,56.67,58.0,53.85,46.07,58.02,50.0,44.06,48.74,54.55,42.98,57.89,45.54,70.69,48.82,65.57
DEN,48.51,38.46,55.88,57.52,55.45,54.0,50.0,,48.08,53.92,48.13,55.14,55.36,42.06,62.39,56.79,61.86,57.8,59.09,51.49,47.73,50.0,46.0,46.49,50.0,52.45,38.43,63.93,43.65,58.93,44.81,57.52
DET,50.62,36.71,56.48,50.31,49.38,53.14,49.47,51.92,,46.63,50.33,48.94,53.26,39.55,41.54,45.51,45.51,48.1,24.0,44.6,35.14,54.9,44.59,48.67,46.27,53.49,36.75,59.32,35.4,55.45,52.1,50.31
GSW,51.12,39.9,58.42,52.29,49.14,56.85,48.69,46.08,53.37,,48.52,46.08,55.08,40.5,54.03,50.0,40.96,55.94,78.43,53.39,55.22,50.0,49.47,42.36,51.27,56.03,40.48,57.81,45.09,64.29,43.75,52.29
HOU,49.43,35.75,62.96,64.6,50.99,62.94,52.65,51.87,49.67,51.48,,56.25,58.16,37.86,59.4,44.58,45.39,62.16,61.11,50.3,54.12,56.98,49.38,50.2,55.04,60.89,47.73,54.69,48.53,74.55,46.73,64.6
IND,49.19,43.04,56.6,57.89,47.28,52.23,47.87,44.86,51.06,53.92,43.75,,59.78,33.94,57.35,53.37,47.68,61.9,59.26,49.8,52.5,55.63,45.16,45.54,38.83,55.88,44.04,52.59,50.49,62.62,42.03,57.89
LAC,38.95,38.3,47.37,54.21,49.48,39.78,44.28,44.64,46.74,44.92,41.84,40.22,,37.67,53.23,46.67,47.42,50.36,46.51,49.46,43.28,55.56,38.71,41.35,38.84,48.13,31.63,47.62,40.99,63.64,31.94,54.21
LAL,55.96,44.15,68.81,69.23,58.55,56.0,65.5,57.94,60.45,59.5,62.14,66.06,62.33,,62.93,55.0,56.02,62.18,55.81,57.88,49.3,65.38,52.91,55.97,56.07,66.04,53.04,61.02,57.03,61.11,62.14,69.23
MEM,43.84,34.48,53.45,47.06,43.28,38.33,33.6,37.61,58.46,45.97,40.6,42.65,46.77,37.07,,46.27,57.58,50.41,55.32,50.0,42.7,52.17,53.33,41.59,45.61,45.87,34.03,48.33,37.72,58.93,24.49,47.06
MIA,56.5,41.53,58.54,57.44,48.19,57.97,50.56,43.21,54.49,50.0,55.42,46.63,53.33,45.0,53.73,,58.28,49.32,64.52,48.57,51.22,55.56,52.47,45.21,41.1,64.86,43.69,59.48,46.75,69.75,35.0,57.44
