hometeamname,awayteamname,season,winner_binary,home_teamscore,home_assists,home_reboundsdefensive,home_reboundsoffensive,home_reboundstotal,home_steals,home_blocks,home_turnovers,home_foulspersonal,home_fieldgoalsmade,home_fieldgoalsattempted,home_fieldgoalspercentage,home_threepointersmade,home_threepointersattempted,home_threepointerspercentage,home_freethrowsmade,home_freethrowsattempted,home_freethrowspercentage,home_plusminuspoints,away_teamscore,away_assists,away_reboundsdefensive,away_reboundsoffensive,away_reboundstotal,away_steals,away_blocks,away_turnovers,away_foulspersonal,away_fieldgoalsmade,away_fieldgoalsattempted,away_fieldgoalspercentage,away_threepointersmade,away_threepointersattempted,away_threepointerspercentage,away_freethrowsmade,away_freethrowsattempted,away_freethrowspercentage,away_plusminuspoints,home_number_of_picks,home_average_overall_pick,away_number_of_picks,away_average_overall_pick
Thunder,Pacers,2024-2025,1,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,3.0,33.0,5.0,29.8
Pacers,Thunder,2024-2025,1,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,5.0,29.8,3.0,33.0
Thunder,Pacers,2024-2025,1,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,3.0,33.0,5.0,29.8
Pacers,Thunder,2024-2025,0,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,5.0,29.8,3.0,33.0
Pacers,Thunder,2024-2025,1,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,5.0,29.8,3.0,33.0
Thunder,Pacers,2024-2025,1,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,3.0,33.0,5.0,29.8
Thunder,Pacers,2024-2025,0,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,3.0,33.0,5.0,29.8
Pacers,Knicks,2024-2025,1,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,112.32,24.06,32.01,12.73,44.74,7.29,4.23,13.04,17.68,40.97,88.46,0.46,13.1,35.49,0.37,17.28,22.32,0.78,3.38,5.0,29.8,,
Knicks,Pacers,2024-2025,1,112.32,24.06,32.01,12.73,44.74,7.29,4.23,13.04,17.68,40.97,88.46,0.46,13.1,35.49,0.37,17.28,22.32,0.78,3.38,121.2,30.53,31.53,10.13,41.66,7.36,5.8,12.95,21.44,46.27,92.01,0.5,13.02,35.28,0.37,15.64,20.1,0.78,2.53,,,5.0,29.8
Thunder,Timberwolves,2024-2025,1,118.62,26.77,33.29,8.88,42.16,8.38,6.41,12.61,18.77,43.91,89.04,0.49,13.21,34.41,0.38,17.6,21.55,0.82,7.09,112.1,26.32,33.93,9.61,43.54,7.75,5.82,14.06,19.26,40.86,84.8,0.48,12.61,32.93,0.38,17.76,22.88,0.77,6.22,3.0,33.0,1.0,53.0
