date,game_id,home_team,home_team_abbr,away_team,away_team_abbr,home_score,away_score,status,arena,city,state
2025-10-21,0022500001,Thunder,OKC,Rockets,HOU,0,0,Final/OT2,Paycom Center,Oklahoma City,OK
2025-10-21,0022500002,Lakers,LAL,Warriors,GSW,0,0,Final,Crypto.com Arena,Los Angeles,CA
2025-10-22,0022500089,Trail Blazers,POR,Timberwolves,MIN,0,0,Final,Moda Center,Portland,OR
2025-10-22,0022500088,Suns,PHX,Kings,SAC,0,0,Final,Mortgage Matchup Center,Phoenix,AZ
2025-10-22,0022500087,Jazz,UTA,Clippers,LAC,0,0,Final,Delta Center,Salt Lake City,UT
2025-10-22,0022500085,Grizzlies,MEM,Pelicans,NOP,0,0,Final,FedExForum,Memphis,TN
2025-10-22,0022500084,Bulls,CHI,Pistons,DET,0,0,Final,United Center,Chicago,IL
2025-10-22,0022500086,Bucks,MIL,Wizards,WAS,0,0,Final,Fiserv Forum,Milwaukee,WI
2025-10-22,0022500082,Hawks,ATL,Raptors,TOR,0,0,Final,State Farm Arena,Atlanta,GA
2025-10-22,0022500081,Magic,ORL,Heat,MIA,0,0,Final,Kia Center,Orlando,FL
2025-10-22,0022500080,Hornets,CHA,Nets,BKN,0,0,Final,Spectrum Center,Charlotte,NC
2025-10-22,0022500004,Mavericks,DAL,Spurs,SAS,0,0,Final,American Airlines Center,Dallas,TX
2025-10-22,0022500003,Knicks,NYK,Cavaliers,CLE,0,0,Final,Madison Square Garden,New York,NY
2025-10-22,0022500083,Celtics,BOS,76ers,PHI,0,0,Final,TD Garden,Boston,MA
2025-10-23,0022500005,Pacers,IND,Thunder,OKC,0,0,Final/OT2,Gainbridge Fieldhouse,Indianapolis,IN
2025-10-23,0022500006,Warriors,GSW,Nuggets,DEN,0,0,Final/OT,Chase Center,San Francisco,CA
2025-10-24,0022500095,Pelicans,NOP,Spurs,SAS,0,0,Final/OT,Smoothie King Center,New Orleans,LA
2025-10-24,0022500099,Clippers,LAC,Suns,PHX,0,0,Final,Intuit Dome,Inglewood,CA
2025-10-24,0022500098,Kings,SAC,Jazz,UTA,0,0,Final,Golden 1 Center,Sacramento,CA
2025-10-24,0022500097,Trail Blazers,POR,Warriors,GSW,0,0,Final,Moda Center,Portland,OR
2025-10-24,0022500096,Mavericks,DAL,Wizards,WAS,0,0,Final,American Airlines Center,Dallas,TX
2025-10-24,0022500094,Grizzlies,MEM,Heat,MIA,0,0,Final,FedExForum,Memphis,TN
2025-10-24,0022500090,Magic,ORL,Hawks,ATL,0,0,Final,Kia Center,Orlando,FL
2025-10-24,0022500092,Raptors,TOR,Bucks,MIL,0,0,Final,Scotiabank Arena,Toronto,ON
2025-10-24,0022500091,Nets,BKN,Cavaliers,CLE,0,0,Final,Barclays Center,Brooklyn,NY
2025-10-24,0022500019,Lakers,LAL,Timberwolves,MIN,0,0,Final,Crypto.com Arena,Los Angeles,CA
