Player,From,To,Season
A.J. Lawson,Dallas Mavericks,Dallas Mavericks,2023
A.J. Lawson,Dallas Mavericks,Toronto Raptors,2024
A.J. Lawson,Toronto Raptors,Toronto Raptors,2025
Aaron Holiday,Indiana Pacers,Phoenix Suns,2021
Aaron Holiday,Phoenix Suns,Atlanta Hawks,2022
Aaron Holiday,Atlanta Hawks,Houston Rockets,2023
Aaron Holiday,Houston Rockets,Houston Rockets,2024
Aaron Holiday,Houston Rockets,Houston Rockets,2025
Aaron Nesmith,Boston Celtics,Boston Celtics,2021
Aaron Nesmith,Boston Celtics,Indiana Pacers,2022
Aaron Nesmith,Indiana Pacers,Indiana Pacers,2023
Aaron Nesmith,Indiana Pacers,Indiana Pacers,2024
Aaron Nesmith,Indiana Pacers,Indiana Pacers,2025
Al Horford,Boston Celtics,Boston Celtics,2021
Al Horford,Boston Celtics,Boston Celtics,2022
Al Horford,Boston Celtics,Boston Celtics,2023
Al Horford,Boston Celtics,Boston Celtics,2024
Al Horford,Boston Celtics,Golden State Warriors,2025
Alec Burks,New York Knicks,New York Knicks,2021
Alec Burks,New York Knicks,Detroit Pistons,2022
Alec Burks,Detroit Pistons,New York Knicks,2023
Alec Burks,New York Knicks,Miami Heat,2024
Aleksej Pokusevski,Oklahoma City Thunder,Oklahoma City Thunder,2021
Aleksej Pokusevski,Oklahoma City Thunder,Oklahoma City Thunder,2022
Aleksej Pokusevski,Oklahoma City Thunder,Charlotte Hornets,2023
Alex Caruso,Los Angeles Lakers,Chicago Bulls,2021
Alex Caruso,Chicago Bulls,Chicago Bulls,2022
Alex Caruso,Chicago Bulls,Chicago Bulls,2023
Alex Caruso,Chicago Bulls,Oklahoma City Thunder,2024
Alex Caruso,Oklahoma City Thunder,Oklahoma City Thunder,2025
Alex Len,Washington Wizards,Sacramento Kings,2021
Alex Len,Sacramento Kings,Sacramento Kings,2022
Alex Len,Sacramento Kings,Sacramento Kings,2023
Alex Len,Sacramento Kings,Los Angeles Lakers,2024
