Player,Team,PTS_per_game,AST_per_game,FG_pct,TRB_per_game,BLK_per_game,STL_per_game,3P_pct,TOV_per_game,PF_per_game,Season
Shaquille O'Neal,LAL,29.7,3.8,0.574,13.6,3.0,0.5,0.0,2.8,3.2,1999-00
Allen Iverson,PHI,28.4,4.7,0.421,3.8,0.1,2.1,0.341,3.3,2.3,1999-00
Grant Hill,DET,25.8,5.2,0.489,6.6,0.6,1.4,0.347,3.2,2.6,1999-00
Vince Carter,TOR,25.7,3.9,0.465,5.8,1.1,1.3,0.403,2.2,3.2,1999-00
Karl Malone,UTA,25.5,3.7,0.509,9.5,0.9,1.0,0.25,2.8,2.8,1999-00
Chris Webber,SAC,24.5,4.6,0.483,10.5,1.7,1.6,0.284,2.9,3.5,1999-00
Gary Payton,SEA,24.2,8.9,0.448,6.5,0.2,1.9,0.34,2.7,2.2,1999-00
Jerry Stackhouse,DET,23.6,4.5,0.428,3.8,0.4,1.3,0.288,3.8,2.3,1999-00
Tim Duncan,SAS,23.2,3.2,0.49,12.4,2.2,0.9,0.091,3.3,2.8,1999-00
Kevin Garnett,MIN,22.9,5.0,0.497,11.8,1.6,1.5,0.37,3.3,2.5,1999-00
Michael Finley,DAL,22.6,5.3,0.457,6.3,0.4,1.3,0.401,2.4,2.1,1999-00
Kobe Bryant,LAL,22.5,4.9,0.468,6.3,0.9,1.6,0.319,2.8,3.3,1999-00
Stephon Marbury,NJN,22.2,8.4,0.432,3.2,0.2,1.5,0.283,3.6,2.6,1999-00
Ray Allen,MIL,22.1,3.8,0.455,4.4,0.2,1.3,0.423,2.2,2.3,1999-00
Alonzo Mourning,MIA,21.7,1.6,0.551,9.5,3.7,0.5,0.0,2.7,3.9,1999-00
Glenn Robinson,MIL,20.9,2.4,0.472,6.0,0.5,1.0,0.363,2.8,2.6,1999-00
Antoine Walker,BOS,20.5,3.7,0.43,8.0,0.4,1.4,0.256,3.2,3.2,1999-00
Shareef Abdur-Rahim,VAN,20.3,3.3,0.465,10.1,1.1,1.1,0.302,3.0,3.0,1999-00
Elton Brand,CHI,20.1,1.9,0.482,10.0,1.6,0.8,0.0,2.8,3.2,1999-00
Eddie Jones,CHH,20.1,4.2,0.427,4.8,0.7,2.7,0.375,2.2,2.4,1999-00
Allan Houston,NYK,19.7,2.7,0.483,3.3,0.2,0.8,0.436,2.3,2.7,1999-00
