GAME_DATE,TEAM_ABBREVIATION,WL,PTS,GAME_ID
2025-10-21,GSW,W,119,0022500002
2025-10-21,HOU,L,124,0022500001
2025-10-21,LAL,L,109,0022500002
2025-10-21,OKC,W,125,0022500001
2025-10-22,ATL,L,118,0022500082
2025-10-22,BOS,L,116,0022500083
2025-10-22,CLE,L,111,0022500003
2025-10-22,NOP,L,122,0022500085
2025-10-22,CHI,W,115,0022500084
2025-10-22,DAL,L,92,0022500004
2025-10-22,LAC,L,108,0022500087
2025-10-22,MIA,L,121,0022500081
2025-10-22,MIL,W,133,0022500086
2025-10-22,MIN,W,118,0022500089
2025-10-22,BKN,L,117,0022500080
2025-10-22,NYK,W,119,0022500003
2025-10-22,ORL,W,125,0022500081
2025-10-22,PHI,W,117,0022500083
2025-10-22,PHX,W,120,0022500088
2025-10-22,POR,L,114,0022500089
2025-10-22,SAC,L,116,0022500088
2025-10-22,SAS,W,125,0022500004
2025-10-22,TOR,W,138,0022500082
2025-10-22,UTA,W,129,0022500087
2025-10-22,MEM,W,128,0022500085
2025-10-22,WAS,L,120,0022500086
2025-10-22,DET,L,111,0022500084
2025-10-22,CHA,W,136,0022500080
2025-10-23,DEN,L,131,0022500006
2025-10-23,GSW,W,137,0022500006
2025-10-23,IND,L,135,0022500005
2025-10-23,OKC,W,141,0022500005
2025-10-24,ATL,W,111,0022500090
2025-10-24,BOS,L,95,0022500018
2025-10-24,CLE,W,131,0022500091
2025-10-24,NOP,L,116,0022500095
2025-10-24,DAL,L,107,0022500096
2025-10-24,GSW,L,119,0022500097
2025-10-24,HOU,L,111,0022500093
2025-10-24,LAC,W,129,0022500099
2025-10-24,LAL,W,128,0022500019
2025-10-24,MIA,W,146,0022500094
2025-10-24,MIL,W,122,0022500092
2025-10-24,MIN,L,110,0022500019
2025-10-24,BKN,L,124,0022500091
2025-10-24,NYK,W,105,0022500018
2025-10-24,ORL,L,107,0022500090
2025-10-24,PHX,L,102,0022500099
2025-10-24,POR,W,139,0022500097
2025-10-24,SAC,W,105,0022500098
2025-10-24,SAS,W,120,0022500095
2025-10-24,TOR,L,116,0022500092
2025-10-24,UTA,L,104,0022500098
2025-10-24,MEM,L,114,0022500094
2025-10-24,WAS,W,117,0022500096
2025-10-24,DET,W,115,0022500093
2025-10-25,ATL,L,100,0022500101
2025-10-25,CHI,W,110,0022500100
2025-10-25,DEN,W,133,0022500104
2025-10-25,ORL,L,98,0022500100
2025-10-25,IND,L,103,0022500103
2025-10-25,PHX,L,111,0022500104
2025-10-25,OKC,W,117,0022500101
2025-10-25,MEM,W,128,0022500103
2025-10-25,CHA,L,121,0022500102
2025-10-25,PHI,W,125,0022500102
2025-10-26,BOS,L,113,0022500106
2025-10-26,CLE,W,118,0022500107
2025-10-26,DAL,W,139,0022500111
2025-10-26,LAC,W,114,0022500112
2025-10-26,LAL,W,127,0022500113
2025-10-26,MIA,W,115,0022500108
2025-10-26,MIL,L,113,0022500107
2025-10-26,MIN,W,114,0022500110
2025-10-26,BKN,L,107,0022500105
2025-10-26,NYK,L,107,0022500108
2025-10-26,IND,L,110,0022500110
2025-10-26,POR,L,107,0022500112
2025-10-26,SAC,L,120,0022500113
2025-10-26,SAS,W,118,0022500105
2025-10-26,TOR,L,129,0022500111
2025-10-26,WAS,L,113,0022500109
2025-10-26,DET,W,119,0022500106
2025-10-26,CHA,W,139,0022500109
2025-10-27,ATL,L,123,0022500115
2025-10-27,BOS,W,122,0022500117
2025-10-27,CLE,W,116,0022500007
2025-10-27,NOP,L,90,0022500117
2025-10-27,CHI,W,128,0022500115
2025-10-27,DAL,L,94,0022500119
2025-10-27,DEN,W,127,0022500008
2025-10-27,GSW,W,131,0022500121
2025-10-27,HOU,W,137,0022500116
2025-10-27,LAL,L,108,0022500122
2025-10-27,MIN,L,114,0022500008
2025-10-27,BKN,L,109,0022500116
2025-10-27,ORL,L,124,0022500114
2025-10-27,PHI,W,136,0022500114
2025-10-27,PHX,L,134,0022500120
2025-10-27,POR,W,122,0022500122
2025-10-27,SAS,W,121,0022500118
2025-10-27,OKC,W,101,0022500119
2025-10-27,TOR,L,103,0022500118
2025-10-27,UTA,W,138,0022500120
2025-10-27,MEM,L,118,0022500121
2025-10-27,DET,L,95,0022500007
2025-10-28,GSW,W,98,0022500127
2025-10-28,LAC,L,79,0022500127
2025-10-28,MIA,W,144,0022500124
2025-10-28,MIL,W,121,0022500125
2025-10-28,NYK,L,111,0022500125
2025-10-28,PHI,W,139,0022500123
2025-10-28,SAC,L,101,0022500126
2025-10-28,OKC,W,107,0022500126
2025-10-28,WAS,L,134,0022500123
2025-10-28,CHA,L,117,0022500124
2025-10-29,ATL,W,117,0022500130
2025-10-29,BOS,W,125,0022500128
2025-10-29,CLE,L,105,0022500128
2025-10-29,NOP,L,88,0022500134
2025-10-29,CHI,W,126,0022500132
2025-10-29,DAL,W,107,0022500133
2025-10-29,DEN,W,122,0022500134
2025-10-29,HOU,W,139,0022500131
2025-10-29,LAL,W,116,0022500136
2025-10-29,MIN,L,115,0022500136
2025-10-29,BKN,L,112,0022500130
2025-10-29,ORL,L,116,0022500129
2025-10-29,IND,L,105,0022500133
2025-10-29,PHX,L,113,0022500137
2025-10-29,POR,W,136,0022500135
2025-10-29,SAC,L,113,0022500132
2025-10-29,TOR,L,121,0022500131
2025-10-29,UTA,L,134,0022500135
2025-10-29,MEM,W,114,0022500137
2025-10-29,DET,W,135,0022500129
2025-10-30,GSW,L,110,0022500139
2025-10-30,MIA,L,101,0022500141
2025-10-30,MIL,W,120,0022500139
2025-10-30,ORL,W,123,0022500138
2025-10-30,SAS,W,107,0022500141
2025-10-30,OKC,W,127,0022500140
2025-10-30,WAS,L,108,0022500140
2025-10-30,CHA,L,107,0022500138
2025-10-31,ATL,W,128,0022500020
2025-10-31,BOS,W,109,0022500021
2025-10-31,CLE,L,101,0022500022
2025-10-31,NOP,L,124,0022500027
2025-10-31,CHI,W,135,0022500023
2025-10-31,DEN,L,107,0022500026
2025-10-31,LAC,W,126,0022500027
2025-10-31,LAL,W,117,0022500024
2025-10-31,NYK,L,125,0022500023
2025-10-31,IND,L,108,0022500020
2025-10-31,PHI,L,108,0022500021
2025-10-31,PHX,W,118,0022500025
2025-10-31,POR,W,109,0022500026
2025-10-31,TOR,W,112,0022500022
2025-10-31,UTA,L,96,0022500025
2025-10-31,MEM,L,112,0022500024
2025-11-01,BOS,L,101,0022500146
2025-11-01,DAL,L,110,0022500147
2025-11-01,GSW,L,109,0022500144
2025-11-01,HOU,W,128,0022500146
2025-11-01,MIL,L,133,0022500142
2025-11-01,MIN,W,122,0022500143
2025-11-01,ORL,W,125,0022500145
2025-11-01,IND,W,114,0022500144
2025-11-01,SAC,W,135,0022500142
2025-11-01,WAS,L,94,0022500145
2025-11-01,DET,W,122,0022500147
2025-11-01,CHA,L,105,0022500143
2025-11-02,ATL,L,109,0022500151
2025-11-02,CLE,W,117,0022500151
2025-11-02,NOP,L,106,0022500148
2025-11-02,CHI,L,116,0022500153
2025-11-02,LAL,W,130,0022500155
2025-11-02,MIA,L,120,0022500155
2025-11-02,BKN,L,105,0022500149
2025-11-02,NYK,W,128,0022500153
2025-11-02,PHI,W,129,0022500149
2025-11-02,PHX,W,130,0022500154
2025-11-02,SAS,L,118,0022500154
2025-11-02,OKC,W,137,0022500148
2025-11-02,TOR,W,117,0022500152
2025-11-02,UTA,L,103,0022500150
2025-11-02,MEM,L,104,0022500152
2025-11-02,CHA,W,126,0022500150
2025-11-03,BOS,L,103,0022500158
2025-11-03,DAL,L,102,0022500160
2025-11-03,DEN,W,130,0022500162
2025-11-03,HOU,W,110,0022500160
2025-11-03,LAC,L,119,0022500164
2025-11-03,LAL,W,123,0022500163
2025-11-03,MIA,W,120,0022500164
2025-11-03,MIL,W,117,0022500157
2025-11-03,MIN,W,125,0022500156
2025-11-03,BKN,L,109,0022500156
2025-11-03,NYK,W,119,0022500159
2025-11-03,IND,L,115,0022500157
2025-11-03,POR,L,115,0022500163
2025-11-03,SAC,L,124,0022500162
2025-11-03,UTA,W,105,0022500158
2025-11-03,MEM,L,106,0022500161
2025-11-03,WAS,L,102,0022500159
2025-11-03,DET,W,114,0022500161
2025-11-04,ATL,W,127,0022500166
2025-11-04,NOP,W,116,0022500168
2025-11-04,CHI,W,113,0022500167
2025-11-04,GSW,W,118,0022500169
2025-11-04,LAC,L,107,0022500170
2025-11-04,MIL,L,100,0022500165
2025-11-04,ORL,L,112,0022500166
2025-11-04,PHI,L,111,0022500167
2025-11-04,PHX,L,107,0022500169
2025-11-04,OKC,W,126,0022500170
2025-11-04,TOR,W,128,0022500165
2025-11-04,CHA,L,112,0022500168
2025-11-05,BOS,W,136,0022500174
2025-11-05,CLE,W,132,0022500171
2025-11-05,NOP,W,101,0022500177
2025-11-05,DAL,L,99,0022500177
2025-11-05,DEN,W,122,0022500178
2025-11-05,GSW,L,116,0022500181
