season,teamName,teamScore,assists,reboundsDefensive,reboundsOffensive,reboundsTotal,steals,blocks,turnovers,foulsPersonal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,plusMinusPoints
1946-1947,Celtics,56.67,,,,,,,,16.5,22.5,,,,,,11.67,24.0,0.67,-5.67
1946-1947,Knicks,60.36,,,,,,,,17.0,23.5,,,,,,13.36,21.0,0.62,-2.57
1946-1947,Warriors,67.29,,,,,,,,,24.43,,,,,,18.43,,,7.43
1947-1948,Celtics,65.69,6.0,,,,,,,17.0,24.38,74.0,0.35,,,,16.94,25.0,0.68,-5.56
1947-1948,Knicks,74.19,5.0,,,,,,,23.33,29.88,109.5,0.33,,,,14.44,22.5,0.71,8.38
1947-1948,Warriors,67.62,5.0,,,,,,,16.75,24.5,106.67,0.21,,,,18.62,27.29,0.7,-1.53
1948-1949,Celtics,75.96,,,,,,,,,28.3,,,,,,19.37,30.15,0.65,-2.0
1948-1949,Knicks,79.33,,,,,,,,,28.85,,,,,,21.63,31.3,0.69,-1.41
1948-1949,Lakers,81.28,,,,,,,,18.0,30.1,,,,,,21.07,29.41,0.71,6.14
1948-1949,Pistons,73.93,,,,,,,,,26.33,,,,,,21.26,30.81,0.69,-4.48
1948-1949,Royals,81.31,,,,,,,,25.0,28.76,,,,,,23.79,33.93,0.72,4.55
1948-1949,Warriors,82.04,,,,,,,,,30.04,,,,,,21.96,30.22,0.73,-2.56
1949-1950,Blackhawks,78.74,,,,,,,,26.5,26.68,90.0,0.33,,,,25.37,36.05,0.69,-4.68
1949-1950,Celtics,79.62,,,,,,,,22.33,28.97,,,,,,21.68,30.61,0.71,-5.59
1949-1950,Knicks,79.7,,,,,,,,26.25,27.62,,,,,,24.46,34.49,0.7,-1.44
1949-1950,Lakers,83.19,,,,,,,,28.27,30.71,80.0,0.45,,,,21.88,29.71,0.73,5.88
1949-1950,Nationals,81.97,,,,,,,,28.08,27.37,87.0,0.37,,,,27.23,39.62,0.73,4.97
1949-1950,Pistons,77.29,,,,,,,,29.38,26.74,,,,,,23.82,33.69,0.7,-0.76
1949-1950,Royals,80.16,,,,,,,,27.33,27.97,,,,,,24.33,32.48,0.74,5.78
1949-1950,Warriors,72.72,,,,,,,,27.71,25.94,,,,,,20.78,29.46,0.71,-5.26
1950-1951,Blackhawks,85.42,21.0,,,,,,,33.5,29.29,95.0,0.3,,,,26.85,36.48,0.74,-5.21
1950-1951,Celtics,86.64,20.0,,,,,,,27.25,30.88,83.0,0.35,,,,24.94,34.57,0.71,-1.1
1950-1951,Knicks,84.89,21.8,,,44.0,,,,29.65,30.06,78.47,0.38,0.0,,,24.66,35.29,0.7,0.66
1950-1951,Lakers,81.78,,,,,,,,33.75,29.6,71.0,0.38,,,,22.43,30.22,0.74,3.93
1950-1951,Nationals,86.44,23.2,,,,,,,34.0,28.46,78.2,0.37,,,,29.53,40.78,0.73,0.61
1950-1951,Pistons,83.06,,,,,,,,35.0,29.04,,,,,,24.52,34.9,0.72,-1.71
1950-1951,Royals,84.4,24.29,,,51.86,,,,25.8,29.08,73.71,0.4,0.0,,,26.2,34.39,0.75,2.87
1950-1951,Warriors,84.64,20.0,,,,,,,26.5,29.44,86.0,0.31,,,,25.68,33.15,0.78,1.16
1951-1952,Celtics,90.67,18.0,,,,,,,27.96,31.35,85.67,0.35,,,,27.96,24.0,0.67,1.76
1951-1952,Hawks,73.2,,,,,,,,27.88,25.16,76.5,0.27,,,,22.88,38.0,0.68,-8.37
1951-1952,Knicks,85.06,20.0,,,,,,,28.23,29.65,72.62,0.36,,,,25.77,16.0,2.47,-0.38
1951-1952,Lakers,84.26,,,,,,,,27.51,30.68,82.71,0.39,,,,22.9,17.0,3.69,4.61
1951-1952,Nationals,87.66,21.0,,,53.0,,,,29.98,28.38,77.0,0.39,,,,30.9,52.0,0.72,4.45
1951-1952,Pistons,76.68,19.0,,,,,,,26.4,26.08,69.57,0.37,,,,24.57,30.0,0.62,-3.92
1951-1952,Royals,85.12,20.0,,,,,,,28.15,29.81,68.0,0.36,,,,25.51,31.0,1.03,3.02
1951-1952,Warriors,85.8,20.0,,,57.0,,,,27.7,30.19,77.25,0.37,,,,25.43,45.0,0.79,-2.3
1952-1953,Celtics,87.25,,,,,,,,27.89,29.7,82.5,0.38,,,,27.87,30.67,0.75,1.25
1952-1953,Hawks,75.04,,,,,,,,29.42,25.76,78.33,0.34,,,,23.52,32.6,0.71,-3.28
1952-1953,Knicks,83.98,,,,,,,,29.39,28.46,75.62,0.34,,,,27.06,39.67,0.66,3.13
1952-1953,Lakers,84.97,,,,,,,,27.69,29.38,76.16,0.39,,,,24.44,33.67,0.73,5.23
1952-1953,Nationals,85.02,,,,,,,,30.98,26.84,65.67,0.39,,,,31.33,51.67,0.67,2.44
1952-1953,Pistons,80.44,,,,,,,,31.55,26.36,78.17,0.32,,,,27.72,37.17,0.73,-1.59
1952-1953,Royals,85.86,,,,,,,,33.19,28.33,79.75,0.35,,,,29.19,43.71,0.72,1.58
1952-1953,Warriors,77.79,,,,,,,,26.18,28.13,78.0,0.36,,,,21.4,42.0,0.64,-9.8
1953-1954,Celtics,86.54,,,,,,,,28.81,30.04,59.0,0.45,,,,26.46,34.14,0.69,0.44
1953-1954,Hawks,69.25,,,,,,,,24.84,24.12,25.6,0.35,,,,21.0,30.56,0.73,-6.03
1953-1954,Knicks,78.32,,,,,,,,26.02,26.35,40.17,0.37,,,,25.62,38.33,0.81,-1.15
1953-1954,Lakers,81.01,0.0,,,0.0,,,,27.16,29.73,53.22,0.39,,,,21.56,30.18,0.77,3.51
1953-1954,Nationals,82.73,0.0,,,0.0,,,,25.65,27.65,62.08,0.38,,,,27.43,35.82,0.68,4.13
1953-1954,Pistons,76.53,,,,,,,,23.62,26.37,41.44,0.37,,,,23.79,36.11,0.75,0.33
1953-1954,Royals,79.56,0.0,,,0.0,,,,25.61,27.81,54.0,0.36,,,,23.93,35.13,0.73,1.21
1953-1954,Warriors,77.39,0.0,,,0.0,,,,23.5,28.02,64.8,0.39,,,,21.35,30.78,0.71,-3.02
1954-1955,Celtics,101.77,0.0,,,0.0,,,,26.06,36.39,30.67,0.44,,,,28.99,36.33,0.74,-0.18
1954-1955,Hawks,87.36,,,,,,,,26.32,30.35,23.57,0.44,,,,26.61,42.86,0.66,-3.06
1954-1955,Knicks,93.11,0.0,,,,,,,22.04,33.28,30.0,0.4,,,,26.55,30.33,0.74,-0.2
1954-1955,Lakers,95.56,0.0,,,0.0,,,,26.96,34.51,31.06,0.41,,,,26.54,34.5,0.79,0.96
1954-1955,Nationals,91.88,,,,,,,,23.38,32.72,15.0,0.47,,,,26.43,41.89,0.74,1.51
1954-1955,Pistons,92.55,,,,,,,,24.77,32.37,34.29,0.4,,,,27.81,37.15,0.78,2.35
1954-1955,Royals,90.89,,,,,,,,25.81,33.32,13.5,0.49,,,,24.25,37.67,0.73,-1.71
