team,city,year,population,rank
Chicago Bulls,"Chicago, IL",2000,2896016,1
Houston Rockets,"Houston, TX",2000,1953631,2
Phoenix Suns,"Phoenix, AZ",2000,1321045,3
Dallas Mavericks,"Dallas, TX",2000,1188580,4
San Antonio Spurs,"San Antonio, TX",2000,1144646,5
Detroit Pistons,"Detroit, MI",2000,951270,6
Indiana Pacers,"Indianapolis, IN",2000,781870,7
Memphis Grizzlies,"Memphis, TN",2000,650100,8
Milwaukee Bucks,"Milwaukee, WI",2000,596974,9
Boston Celtics,"Boston, MA",2000,589141,10
Washington Wizards,"Washington, DC",2000,572059,11
Seattle SuperSonics,"Seattle, WA",2000,563374,12
Denver Nuggets,"Denver, CO",2000,554636,13
Charlotte Hornets,"Charlotte, NC",2000,540828,14
Portland Trail Blazers,"Portland, OR",2000,529121,15
Cleveland Cavaliers,"Cleveland, OH",2000,478403,16
Atlanta Hawks,"Atlanta, GA",2000,416474,17
Golden State Warriors,"Oakland, CA",2000,399484,18
Minnesota Timberwolves,"Minneapolis, MN",2000,382618,19
Miami Heat,"Miami, FL",2000,362470,20
Orlando Magic,"Orlando, FL",2000,185951,21
Los Angeles Lakers,"Los Angeles, CA",2000,124283,22
Los Angeles Clippers,"Los Angeles, CA",2000,124283,23
Sacramento Kings,"Sacramento, CA",2000,36468,24
Utah Jazz,"Salt Lake City, UT",2000,8749,25
New Jersey Nets,"Newark, NJ",2000,2377,26
Philadelphia 76ers,"Philadelphia, PA",2000,1149,27
New York Knicks,"New York, NY",2000,622,28
Chicago Bulls,"Chicago, IL",2010,1045560,1
Houston Rockets,"Houston, TX",2010,782643,2
Phoenix Suns,"Phoenix, AZ",2010,514806,3
San Antonio Spurs,"San Antonio, TX",2010,479642,4
Dallas Mavericks,"Dallas, TX",2010,458057,5
Indiana Pacers,"Indianapolis, IN",2010,332199,6
Charlotte Hornets,"Charlotte, NC",2010,289860,7
Seattle SuperSonics,"Seattle, WA",2010,283510,8
Detroit Pistons,"Detroit, MI",2010,269445,9
Washington Wizards,"Washington, DC",2010,266707,10
Denver Nuggets,"Denver, CO",2010,263107,11
Boston Celtics,"Boston, MA",2010,252699,12
Memphis Grizzlies,"Memphis, TN",2010,250344,13
Portland Trail Blazers,"Portland, OR",2010,248546,14
Milwaukee Bucks,"Milwaukee, WI",2010,230221,15
Atlanta Hawks,"Atlanta, GA",2010,185142,16
Cleveland Cavaliers,"Cleveland, OH",2010,167490,17
Minnesota Timberwolves,"Minneapolis, MN",2010,163540,18
Miami Heat,"Miami, FL",2010,158317,19
Golden State Warriors,"Oakland, CA",2010,153791,20
Orlando Magic,"Orlando, FL",2010,102521,21
Los Angeles Lakers,"Los Angeles, CA",2010,30816,22
Los Angeles Clippers,"Los Angeles, CA",2010,30816,23
Utah Jazz,"Salt Lake City, UT",2010,5353,24
New Jersey Nets,"Newark, NJ",2010,759,25
Philadelphia 76ers,"Philadelphia, PA",2010,477,26
New York Knicks,"New York, NY",2010,216,27
Sacramento Kings,"Sacramento, CA",2010,62,28
Phoenix Suns,"Phoenix, AZ",2020,1608139,1
San Antonio Spurs,"San Antonio, TX",2020,1434625,2
Dallas Mavericks,"Dallas, TX",2020,1304379,3
Indiana Pacers,"Indianapolis, IN",2020,887642,4
Charlotte Hornets,"Charlotte, NC",2020,874579,5
Seattle SuperSonics,"Seattle, WA",2020,737015,6
Denver Nuggets,"Denver, CO",2020,715522,7
Washington Wizards,"Washington, DC",2020,689545,8
Boston Celtics,"Boston, MA",2020,675647,9
Portland Trail Blazers,"Portland, OR",2020,652503,10
Detroit Pistons,"Detroit, MI",2020,639111,11
Memphis Grizzlies,"Memphis, TN",2020,633104,12
Atlanta Hawks,"Atlanta, GA",2020,498715,13
Golden State Warriors,"Oakland, CA",2020,440646,14
Minnesota Timberwolves,"Minneapolis, MN",2020,429954,15
Cleveland Cavaliers,"Cleveland, OH",2020,372624,16
Orlando Magic,"Orlando, FL",2020,307573,17
Sacramento Kings,"Sacramento, CA",2020,53915,18
Utah Jazz,"Salt Lake City, UT",2020,21907,19
Milwaukee Bucks,"Milwaukee, WI",2020,20795,20
Houston Rockets,"Houston, TX",2020,16153,21
Los Angeles Lakers,"Los Angeles, CA",2020,13187,22
Los Angeles Clippers,"Los Angeles, CA",2020,13187,23
Miami Heat,"Miami, FL",2020,12026,24
Chicago Bulls,"Chicago, IL",2020,4026,25
New York Knicks,"New York, NY",2020,3236,26
New Jersey Nets,"Newark, NJ",2020,2594,27
Philadelphia 76ers,"Philadelphia, PA",2020,1054,28
