Team,All_Star_Selections
Atlanta Hawks,27
Boston Celtics,60
Brooklyn Nets,25
Charlotte Hornets,3
Chicago Bulls,61
Cleveland Cavaliers,39
Dallas Mavericks,31
Denver Nuggets,21
Detroit Pistons,47
Golden State Warriors,68
Houston Rockets,37
Indiana Pacers,35
Los Angeles Clippers,31
Los Angeles Lakers,66
Memphis Grizzlies,10
Miami Heat,29
Milwaukee Bucks,38
Minnesota Timberwolves,10
New Orleans Pelicans,9
New York Knicks,52
Oklahoma City Thunder,19
Orlando Magic,8
Philadelphia 76ers,61
Phoenix Suns,32
Portland Trail Blazers,22
Sacramento Kings,26
San Antonio Spurs,49
Toronto Raptors,10
Utah Jazz,29
Washington Wizards,25
